Name,Model,Date of assembly,Price,Brand,KM Driven,Fuel Type,Body Type,Seat capicity,No. of prev owners,Transmission
2021 Hyundai Creta,Creta 2020-2024,2021,1100000,Hyundai,122000,Diesel,SUV,5,First-Owner,Automatic
2010 Hyundai i10,i10,2010,125000,Hyundai,80000,Petrol,Hatchback,5,Fourth-Owner,Manual
2019 Kia Seltos,Seltos 2019-2023,2019,1076000,Kia,40000,Petrol,SUV,5,Second-Owner,Manual
2021 Mini Cooper Convertible,Cooper Convertible,2021,4500000,Mini,16000,Petrol,Convertibles,4,First-Owner,Automatic
2025 Maruti Dzire,Dzire,2025,1000000,Maruti,30000,Petrol,Sedan,5,First-Owner,Manual
2016 Mahindra XUV500,XUV500,2016,520000,Mahindra,100000,Diesel,SUV,7,Third-Owner,Manual
2013 Maruti Wagon R,Wagon R 2013-2022,2013,180000,Maruti,80000,CNG,Hatchback,5,Second-Owner,Manual
2023 BMW Z4,Z4 2019-2023,2023,9500000,BMW,1200,Petrol,Convertibles,2,First-Owner,Automatic
2007 Honda City,City ZX 2005-2008,2007,120000,Honda,40000,Petrol,Sedan,5,Second-Owner,Manual
2017 Renault KWID,KWID 2015-2019,2017,240000,Renault,30000,Petrol,Hatchback,5,First-Owner,Manual
2019 Hyundai Venue,Venue 2019-2022,2019,750000,Hyundai,40000,Petrol,SUV,5,First-Owner,Manual
2022 Maruti Wagon R,Wagon R,2022,600000,Maruti,20000,Petrol,Hatchback,5,First-Owner,Manual
2023 Tata Safari,Safari 2021-2023,2023,2100000,Tata,50000,Diesel,SUV,7,First-Owner,Manual
2023 Tata Altroz,Altroz 2020-2023,2023,850000,Tata,50000,Petrol,Hatchback,5,Second-Owner,Manual
2016 Mahindra Scorpio,Scorpio 2014-2022,2016,630000,Mahindra,100000,Diesel,SUV,7,Third-Owner,Manual
2022 Maruti Brezza,Brezza,2022,900000,Maruti,50000,Petrol,SUV,5,First-Owner,Manual
2015 Hyundai EON,EON,2015,160000,Hyundai,100000,Petrol,Hatchback,5,First-Owner,Manual
2018 Maruti Swift Dzire,Dzire 2017-2020,2018,350000,Maruti,50000,Diesel,Sedan,5,First-Owner,Manual
2015 Mahindra Bolero,Bolero 2011-2019,2015,400000,Mahindra,100000,Diesel,SUV,9,Fourth-Owner,Manual
2022 Maruti Baleno,Baleno,2022,750000,Maruti,35000,Petrol,Hatchback,5,First-Owner,Manual
2019 Tata Tigor,Tigor 2017-2020,2019,370000,Tata,70000,Petrol,Sedan,5,First-Owner,Manual
2019 Tata Tigor,Tigor 2017-2020,2019,380000,Tata,70000,Petrol,Sedan,5,First-Owner,Manual
2013 Mahindra Scorpio,Scorpio 2009-2014,2013,650000,Mahindra,100000,Diesel,SUV,8,First-Owner,Manual
2021 Hyundai Grand i10 Nios,Grand i10 Nios 2019-2023,2021,500000,Hyundai,48000,Petrol,Hatchback,5,First-Owner,Manual
2017 Mahindra TUV 300,TUV 300 2015-2019,2017,550000,Mahindra,106000,Diesel,SUV,7,First-Owner,Manual
2023 Hyundai Venue,Venue,2023,925000,Hyundai,16838,Diesel,SUV,5,First-Owner,Manual
2021 Renault Kiger,Kiger 2021-2023,2021,555100,Renault,47150,Petrol,SUV,5,First-Owner,Automatic
2023 Tata Tiago EV,Tiago EV,2023,825000,Tata,90000,Electric,Hatchback,5,First-Owner,Automatic
2022 Kia Carens,Carens,2022,1087000,Kia,39562,Diesel,MUV,6,First-Owner,Automatic
2020 Renault Triber,Triber 2019-2025,2020,525000,Renault,52000,Petrol,MUV,7,First-Owner,Manual
2023 Maruti Swift Dzire Tour,Swift Dzire Tour,2023,625000,Maruti,45000,CNG,Sedan,5,Second-Owner,Manual
2024 Mahindra XUV 3XO,XUV 3XO,2024,750000,Mahindra,2000,Petrol,SUV,5,First-Owner,Manual
2022 Nissan Magnite,Magnite 2020-2024,2022,500000,Nissan,20000,Petrol,SUV,5,First-Owner,Manual
2016 Maruti Alto 800,Alto 800 2012-2016,2016,269000,Maruti,30000,Petrol,Hatchback,5,First-Owner,Manual
2008 Hyundai i10,i10,2008,150000,Hyundai,60000,Petrol,Hatchback,5,Second-Owner,Manual
2023 Hyundai Exter,Exter,2023,950000,Hyundai,10000,Petrol,SUV,5,First-Owner,Automatic
2023 Maruti Baleno,Baleno,2023,800000,Maruti,15000,Petrol,Hatchback,5,First-Owner,Automatic
2024 Maruti Baleno,Baleno,2024,850000,Maruti,30000,Petrol,Hatchback,5,First-Owner,Manual
2017 Tata Zest,Zest,2017,350000,Tata,20000,Petrol,Sedan,5,First-Owner,Manual
2018 Mahindra XUV500,XUV500,2018,950000,Mahindra,90000,Diesel,SUV,7,First-Owner,Manual
2014 Nissan Terrano,Terrano 2013-2017,2014,465000,Nissan,70000,Diesel,SUV,5,Third-Owner,Manual
2022 Hyundai Aura,Aura 2020-2023,2022,700000,Hyundai,50000,CNG,Sedan,5,First-Owner,Manual
2022 Toyota Fortuner,Fortuner,2022,3500000,Toyota,50000,Diesel,SUV,7,First-Owner,Automatic
2024 Hyundai i20,i20,2024,900000,Hyundai,20000,Petrol,Hatchback,5,First-Owner,Manual
2020 Tata Tigor,Tigor 2017-2020,2020,350000,Tata,60000,Petrol,Sedan,5,First-Owner,Manual
2016 Maruti Alto 800,Alto 800 2016-2019,2016,300000,Maruti,55000,Petrol,Hatchback,5,Second-Owner,Manual
2021 Hyundai Creta,Creta 2020-2024,2021,1199000,Hyundai,80000,Diesel,SUV,5,First-Owner,Manual
2023 Maruti Baleno,Baleno,2023,880000,Maruti,40000,Petrol,Hatchback,5,First-Owner,Manual
2018 Ford Freestyle,Freestyle,2018,350000,Ford,150000,Petrol,Hatchback,5,First-Owner,Manual
2014 Tata Indigo,Indigo eCS 2010-2017,2014,110000,Tata,160000,Diesel,Sedan,5,Second-Owner,Manual
2018 Maruti Swift Dzire,Dzire 2017-2020,2018,550000,Maruti,120000,Diesel,Sedan,5,Second-Owner,Manual
2018 Jeep Compass,Compass 2017-2021,2018,740000,Jeep,165000,Petrol,SUV,5,Third-Owner,Automatic
2021 Maruti Swift Dzire Tour,Swift Dzire Tour 2018-2021,2021,650000,Maruti,65000,Petrol,Sedan,5,First-Owner,Manual
2017 Maruti Alto 800,Alto 800 2016-2019,2017,235000,Maruti,78000,Petrol,Hatchback,5,Second-Owner,Manual
2020 Hyundai Aura,Aura 2020-2023,2020,625000,Hyundai,72320,Petrol,Sedan,5,First-Owner,Automatic
2013 Maruti Wagon R,Wagon R 2013-2022,2013,275000,Maruti,68000,Petrol,Hatchback,5,First-Owner,Manual
2017 Ford Figo,Figo 2015-2019,2017,351000,Ford,103000,Diesel,Hatchback,5,First-Owner,Manual
2025 Kia Seltos,Seltos,2025,2050000,Kia,20000,Diesel,SUV,5,First-Owner,Automatic
2017 Maruti Swift,Swift 2014-2021,2017,450000,Maruti,60000,Petrol,Hatchback,5,First-Owner,Manual
2016 Maruti Alto 800,Alto 800 2016-2019,2016,210000,Maruti,100000,Petrol,Hatchback,5,Second-Owner,Manual
2022 Maruti Brezza,Brezza,2022,1050000,Maruti,20000,Petrol,SUV,5,First-Owner,Manual
2009 Ford Fiesta,Fiesta 2008-2011,2009,85500,Ford,150000,Diesel,Sedan,5,Second-Owner,Manual
2010 Hyundai Verna,Verna 2010-2011,2010,140000,Hyundai,120000,Diesel,Sedan,5,Third-Owner,Manual
2020 Maruti Alto 800,Alto 800,2020,360000,Maruti,95000,Petrol,Hatchback,5,First-Owner,Manual
2013 Maruti Ritz,Ritz,2013,180000,Maruti,140000,Diesel,Hatchback,5,Second-Owner,Manual
2011 Chevrolet Cruze,Cruze 2010-2011,2011,200000,Chevrolet,80000,Diesel,Sedan,5,Third-Owner,Manual
2009 Maruti SX4,SX4 2007-2012,2009,180000,Maruti,120000,Petrol,Sedan,5,Second-Owner,Manual
2011 Maruti Alto K10,Alto K10 2010-2014,2011,111000,Maruti,150000,Petrol,Hatchback,5,Third-Owner,Manual
2014 Hyundai Verna,Verna 2011-2015,2014,430000,Hyundai,80000,Diesel,Sedan,5,Fourth-Owner,Manual
2023 Tata Nexon,Nexon 2023-2023,2023,1100000,Tata,30000,Petrol,SUV,5,First-Owner,Manual
2023 Maruti S-Presso,S-Presso,2023,460000,Maruti,30000,Petrol,Hatchback,5,First-Owner,Manual
2025 Maruti Alto K10,Alto K10,2025,540000,Maruti,10000,Petrol,Hatchback,5,First-Owner,Manual
2022 Mahindra Bolero Neo,Bolero Neo,2022,1000000,Mahindra,70000,Diesel,SUV,7,First-Owner,Manual
2022 Maruti S-Presso,S-Presso,2022,450000,Maruti,27000,Petrol,Hatchback,5,First-Owner,Manual
2009 Infiniti FX,FX,2009,700000,Infiniti,10000,Diesel,SUV,5,Fifth-Owner,Manual
2019 Maruti Celerio,Celerio 2017-2021,2019,371000,Maruti,94000,Petrol,Hatchback,5,First-Owner,Automatic
2023 Jeep Meridian,Meridian,2023,2500000,Jeep,27000,Diesel,SUV,7,First-Owner,Automatic
2015 Maruti Ciaz,Ciaz 2014-2017,2015,565000,Maruti,72330,Petrol,Sedan,5,First-Owner,Manual
2015 Ford Ecosport,EcoSport 2015-2021,2015,565000,Ford,66545,Diesel,SUV,5,First-Owner,Manual
2017 Nissan Terrano,Terrano 2013-2017,2017,585000,Nissan,55706,Diesel,SUV,5,Second-Owner,Manual
2019 Nissan Kicks,Kicks,2019,685000,Nissan,74641,Diesel,SUV,5,First-Owner,Manual
2015 Toyota Fortuner,Fortuner 2011-2016,2015,1350000,Toyota,135000,Diesel,SUV,7,First-Owner,Manual
2018 Mahindra XUV500,XUV500,2018,965000,Mahindra,63991,Diesel,SUV,7,Second-Owner,Manual
2019 Hyundai Grand i10 Nios,Grand i10 Nios 2019-2023,2019,511000,Hyundai,36343,Petrol,Hatchback,5,First-Owner,Manual
2019 Nissan Kicks,Kicks,2019,585000,Nissan,104751,Petrol,SUV,5,Second-Owner,Manual
2014 Tata Safari Storme,Safari Storme 2012-2015,2014,550000,Tata,78353,Diesel,SUV,7,First-Owner,Manual
2017 Toyota Fortuner,Fortuner 2016-2021,2017,2500000,Toyota,175758,Diesel,SUV,7,First-Owner,Manual
2012 Skoda Laura,Laura,2012,365000,Skoda,63789,Diesel,Sedan,5,First-Owner,Manual
2013 Mahindra Quanto,Quanto,2013,295000,Mahindra,64179,Diesel,SUV,7,Second-Owner,Manual
2022 Volkswagen Virtus,Virtus,2022,1265000,Volkswagen,30324,Petrol,Sedan,5,First-Owner,Manual
2020 MG Hector,Hector 2019-2021,2020,1375000,MG,56908,Diesel,SUV,5,First-Owner,Manual
2022 Maruti Celerio,Celerio,2022,550000,Maruti,30000,Petrol,Hatchback,5,First-Owner,Manual
2010 Maruti Ritz,Ritz,2010,100000,Maruti,78000,Petrol,Hatchback,5,Second-Owner,Manual
2018 Tata Tiago,Tiago 2015-2019,2018,350000,Tata,60000,Petrol,Hatchback,5,Second-Owner,Manual
2007 Hyundai Santro Xing,Santro Xing,2007,80000,Hyundai,70000,Petrol,Hatchback,5,First-Owner,Automatic
2024 Maruti Swift Dzire,Swift Dzire 2020-2024,2024,800000,Maruti,30000,Petrol,Sedan,5,First-Owner,Manual
2020 Maruti Ciaz,Ciaz,2020,650000,Maruti,40000,Petrol,Sedan,5,First-Owner,Manual
2025 Kia Sonet,Sonet,2025,1340000,Kia,10000,Petrol,SUV,5,First-Owner,Manual
2025 Maruti Dzire,Dzire,2025,650000,Maruti,1000,Petrol,Sedan,5,First-Owner,Manual
2022 Maruti Vitara Brezza,Vitara Brezza,2022,760000,Maruti,99000,Petrol,SUV,5,First-Owner,Manual
2014 Maruti Wagon R,Wagon R 2013-2022,2014,260000,Maruti,55000,Petrol,Hatchback,5,Second-Owner,Manual
2024 Mahindra Thar,Thar,2024,1700000,Mahindra,20000,Diesel,SUV,4,First-Owner,Manual
2016 Maruti Swift,Swift 2014-2021,2016,420000,Maruti,61000,Petrol,Hatchback,5,Second-Owner,Manual
2023 Maruti Ciaz,Ciaz,2023,850000,Maruti,40000,Petrol,Sedan,5,First-Owner,Manual
2022 Maruti Swift Dzire,Swift Dzire 2020-2024,2022,750000,Maruti,48000,Petrol,Sedan,5,First-Owner,Automatic
2011 Maruti Swift Dzire,Swift Dzire 2008-2012,2011,170000,Maruti,40000,Petrol,Sedan,5,Third-Owner,Manual
2023 Mahindra Scorpio N,Scorpio N,2023,2300000,Mahindra,48000,Diesel,SUV,7,First-Owner,Manual
2017 Maruti Wagon R,Wagon R 2013-2022,2017,250000,Maruti,48000,Petrol,Hatchback,5,First-Owner,Manual
2011 Maruti Alto 800,Alto 2000-2012,2011,120000,Maruti,100000,Petrol,Hatchback,5,Fourth-Owner,Manual
2012 Honda City,City 2011-2013,2012,300000,Honda,80000,Petrol,Sedan,5,First-Owner,Manual
2024 Kia Sonet,Sonet,2024,1170000,Kia,30000,Petrol,SUV,5,First-Owner,Automatic
2024 Tata Tigor,Tigor,2024,900000,Tata,10000,Petrol,Sedan,5,First-Owner,Manual
2024 Maruti FRONX,FRONX,2024,1020000,Maruti,30000,CNG,SUV,5,First-Owner,Manual
2018 Mahindra TUV 300,TUV 300 2015-2019,2018,550000,Mahindra,70000,Diesel,SUV,7,First-Owner,Manual
2016 Tata Indigo,Indigo CS,2016,130000,Tata,300000,Diesel,Sedan,5,First-Owner,Manual
2018 Maruti Baleno,Baleno 2015-2022,2018,620000,Maruti,52000,Petrol,Hatchback,5,First-Owner,Automatic
2023 Mahindra Bolero Neo,Bolero Neo,2023,1050000,Mahindra,17000,Diesel,SUV,7,First-Owner,Manual
2022 Honda Amaze 2nd Gen,Amaze 2nd Gen,2022,750000,Honda,49000,Petrol,Sedan,5,First-Owner,Manual
2021 MG Hector,Hector 2019-2021,2021,1250000,MG,60000,Diesel,SUV,5,First-Owner,Manual
2022 Honda Amaze 2nd Gen,Amaze 2nd Gen,2022,750000,Honda,71000,Petrol,Sedan,5,First-Owner,Manual
2019 Kia Seltos,Seltos 2019-2023,2019,1020000,Kia,80000,Diesel,SUV,5,First-Owner,Manual
2021 Mahindra Bolero,Bolero,2021,710000,Mahindra,63253,Diesel,SUV,7,First-Owner,Manual
2023 MG Hector Plus,Hector Plus,2023,2200000,MG,40000,Petrol,SUV,7,First-Owner,Automatic
2023 BMW X3,X3 2022-2025,2023,5000000,BMW,42000,Diesel,SUV,5,First-Owner,Automatic
2020 Mahindra Marazzo,Marazzo,2020,650000,Mahindra,78258,Diesel,MUV,7,Second-Owner,Manual
2018 Maruti Baleno,Baleno 2015-2022,2018,570000,Maruti,43966,Petrol,Hatchback,5,First-Owner,Automatic
2019 Tata Nexon,Nexon 2017-2020,2019,650000,Tata,60000,Diesel,SUV,5,First-Owner,Automatic
2017 Maruti Vitara Brezza,Vitara Brezza 2016-2020,2017,570000,Maruti,69651,Diesel,SUV,5,First-Owner,Automatic
2018 Tata Nexon,Nexon 2017-2020,2018,685000,Tata,54000,Diesel,SUV,5,First-Owner,Manual
2019 Honda City,City 4th Generation,2019,835000,Honda,60000,Petrol,Sedan,5,First-Owner,Automatic
2021 Renault Triber,Triber 2019-2025,2021,650000,Renault,45000,Petrol,MUV,7,First-Owner,Manual
2024 Skoda Kushaq,Kushaq,2024,1750000,Skoda,20000,Petrol,SUV,5,First-Owner,Manual
2024 Maruti Ertiga,Ertiga,2024,1050000,Maruti,16000,Petrol,MUV,7,First-Owner,Manual
2016 Maruti Swift,Swift 2014-2021,2016,450000,Maruti,120000,Petrol,Hatchback,5,First-Owner,Manual
2015 Honda City,City 2014-2015,2015,800000,Honda,120000,Diesel,Sedan,5,First-Owner,Manual
2022 Maruti Swift,Swift 2021-2024,2022,650000,Maruti,40000,Petrol,Hatchback,5,First-Owner,Manual
2018 Hyundai Creta,Creta 2015-2020,2018,700000,Hyundai,100000,Diesel,SUV,5,Second-Owner,Manual
2011 Maruti Alto 800,Alto 2000-2012,2011,140000,Maruti,56000,Petrol,Hatchback,5,Second-Owner,Manual
2021 Maruti Swift,Swift 2014-2021,2021,750000,Maruti,24000,Petrol,Hatchback,5,First-Owner,Manual
2022 Hyundai Tucson,Tucson,2022,2675393,Hyundai,18837,Petrol,SUV,5,First-Owner,Automatic
2022 Maruti Brezza,Brezza,2022,1140148,Maruti,28314,Petrol,SUV,5,First-Owner,Automatic
2022 Hyundai Grand i10,Grand i10,2022,698000,Hyundai,26656,Petrol,Hatchback,5,First-Owner,Manual
2019 Mahindra Alturas G4,Alturas G4,2019,2000000,Mahindra,90000,Diesel,SUV,7,First-Owner,Automatic
2024 Mahindra XUV 3XO,XUV 3XO,2024,1491673,Mahindra,19723,Diesel,SUV,5,First-Owner,Manual
2016 Maruti Alto 800,Alto 2000-2012,2016,279000,Maruti,34005,Petrol,Hatchback,5,First-Owner,Manual
2022 Maruti Ignis,Ignis,2022,619000,Maruti,18355,Petrol,Hatchback,5,First-Owner,Manual
2020 Kia Seltos,Seltos 2019-2023,2020,1300000,Kia,90000,Petrol,SUV,5,First-Owner,Manual
2023 Maruti Alto K10,Alto K10,2023,494000,Maruti,17148,Petrol,Hatchback,5,First-Owner,Manual
2019 Honda Amaze,Amaze 2016-2021,2019,699000,Honda,64241,Diesel,Sedan,5,First-Owner,Automatic
2011 Maruti Wagon R,Wagon R,2011,217000,Maruti,99837,Petrol,Hatchback,5,Second-Owner,Manual
2022 Skoda Kushaq,Kushaq,2022,1410000,Skoda,60000,Petrol,SUV,5,First-Owner,Automatic
2024 Kia Carens,Carens,2024,1091100,Kia,4521,Diesel,MUV,7,First-Owner,Manual
2024 Kia Seltos,Seltos,2024,863980,Kia,49490,Petrol,SUV,5,First-Owner,Manual
2021 Renault Triber,Triber 2019-2025,2021,459070,Renault,27336,Petrol,MUV,7,Second-Owner,Manual
2011 Maruti Ritz,Ritz,2011,150000,Maruti,75000,Petrol,Hatchback,5,First-Owner,Manual
2023 Maruti Alto K10,Alto K10,2023,400000,Maruti,38456,Petrol,Hatchback,5,First-Owner,Manual
2024 Toyota Glanza,Glanza,2024,949664,Toyota,5389,Petrol,Hatchback,5,First-Owner,Automatic
2023 Renault Kiger,Kiger 2023-2025,2023,691122,Renault,22438,Petrol,SUV,5,First-Owner,Automatic
2015 Maruti Wagon R,Wagon R 2013-2022,2015,270000,Maruti,21000,Petrol,Hatchback,5,First-Owner,Manual
2025 Mahindra Thar ROXX,Thar ROXX,2025,2350000,Mahindra,9000,Diesel,SUV,5,First-Owner,Automatic
2025 Maruti FRONX,FRONX,2025,876226,Maruti,9565,Petrol,SUV,5,First-Owner,Manual
2022 Maruti Celerio,Celerio 2017-2021,2022,549276,Maruti,21646,CNG,Hatchback,5,First-Owner,Manual
2023 Kia Seltos,Seltos,2023,1750000,Kia,20000,Diesel,SUV,5,First-Owner,Automatic
2023 Hyundai Venue,Venue,2023,866166,Hyundai,9962,Petrol,SUV,5,First-Owner,Manual
2021 Maruti Swift,Swift 2014-2021,2021,544246,Maruti,20321,Petrol,Hatchback,5,First-Owner,Manual
2023 Kia Sonet,Sonet 2020-2024,2023,950000,Kia,12765,Petrol,SUV,5,First-Owner,Manual
2017 Honda City,City 2015-2017,2017,625000,Honda,60000,Petrol,Sedan,5,First-Owner,Manual
2025 Kia Sonet,Sonet,2025,1290000,Kia,5363,Diesel,SUV,5,First-Owner,Manual
2023 Tata Punch,Punch,2023,710000,Tata,18070,Petrol,SUV,5,First-Owner,Automatic
2023 Maruti Alto K10,Alto K10,2023,349427,Maruti,31065,Petrol,Hatchback,5,First-Owner,Manual
2023 Tata Nexon,Nexon 2020-2023,2023,800000,Tata,160000,Diesel,SUV,5,First-Owner,Manual
2006 Maruti Swift,Swift 2004-2010,2006,60000,Maruti,30000,Petrol,Hatchback,5,First-Owner,Manual
2023 Tata Tiago,Tiago,2023,700000,Tata,30000,Petrol,Hatchback,5,First-Owner,Manual
2013 Hyundai i10,i10,2013,350000,Hyundai,7000,Petrol,Hatchback,5,First-Owner,Manual
2024 Hyundai Creta,Creta,2024,1600000,Hyundai,5000,Petrol,SUV,5,First-Owner,Manual
2015 Fiat Avventura,Avventura,2015,275000,Fiat,90000,Diesel,Hatchback,5,Second-Owner,Manual
2022 Maruti Baleno,Baleno 2015-2022,2022,750000,Maruti,37000,Petrol,Hatchback,5,First-Owner,Manual
2017 Hyundai i20,Elite i20 2014-2017,2017,420000,Hyundai,90000,Petrol,Hatchback,5,First-Owner,Manual
2018 Mahindra KUV 100 NXT,KUV 100 NXT,2018,400000,Mahindra,20000,Petrol,Hatchback,6,First-Owner,Manual
2016 Honda BR-V,BR-V,2016,415000,Honda,120000,Diesel,SUV,7,First-Owner,Manual
2018 Maruti Swift Dzire,Dzire 2017-2020,2018,480000,Maruti,55000,Petrol,Sedan,5,Third-Owner,Manual
2009 Mahindra Scorpio,Scorpio 2009-2014,2009,125000,Mahindra,100000,Diesel,SUV,8,First-Owner,Manual
2009 Maruti Zen Estilo,Zen Estilo,2009,40000,Maruti,75000,Petrol,Hatchback,5,Second-Owner,Manual
2011 Mahindra Scorpio,Scorpio 2009-2014,2011,300000,Mahindra,100000,Diesel,SUV,5,Second-Owner,Manual
2017 Maruti Swift Dzire,Swift Dzire 2015-2017,2017,550000,Maruti,165000,Diesel,Sedan,5,First-Owner,Manual
2011 Tata Safari,Safari 2005-2017,2011,250000,Tata,100000,Diesel,SUV,7,Second-Owner,Manual
2012 Hyundai i20,i20 2010-2012,2012,325000,Hyundai,39000,Petrol,Hatchback,5,First-Owner,Manual
2023 Maruti Baleno,Baleno,2023,750000,Maruti,48000,Petrol,Hatchback,5,First-Owner,Manual
2023 Maruti Swift,Swift 2021-2024,2023,800000,Maruti,35000,Petrol,Hatchback,5,First-Owner,Manual
2013 Mahindra Scorpio,Scorpio 2009-2014,2013,350000,Mahindra,120000,Diesel,SUV,8,Fourth-Owner,Manual
2010 Honda City,City 2008-2011,2010,200000,Honda,60000,Petrol,Sedan,5,Second-Owner,Manual
2019 Maruti Ciaz,Ciaz,2019,700000,Maruti,100000,Diesel,Sedan,5,First-Owner,Manual
2018 Hyundai Creta,Creta 2015-2020,2018,750000,Hyundai,60000,Diesel,SUV,5,First-Owner,Manual
2020 Hyundai Creta,Creta 2015-2020,2020,850000,Hyundai,100000,Diesel,SUV,5,Second-Owner,Manual
2014 Tata Zest,Zest,2014,200000,Tata,1000,Petrol,Sedan,5,First-Owner,Manual
2019 Maruti Baleno,Baleno 2015-2022,2019,700000,Maruti,45000,Petrol,Hatchback,5,First-Owner,Manual
2013 Maruti Alto 800,Alto 800 2012-2016,2013,210000,Maruti,120000,Petrol,Hatchback,5,First-Owner,Manual
2020 Tata Nexon,Nexon 2020-2023,2020,900000,Tata,63000,Petrol,SUV,5,First-Owner,Manual
2015 Maruti Wagon R Stingray,Wagon R Stingray,2015,300000,Maruti,60000,Petrol,Hatchback,5,Second-Owner,Manual
2019 Maruti Swift,Swift 2014-2021,2019,500000,Maruti,22000,Petrol,Hatchback,5,First-Owner,Manual
2008 Maruti Alto 800,Alto 2000-2012,2008,80000,Maruti,58000,Petrol,Hatchback,5,Third-Owner,Manual
2021 Maruti Baleno,Baleno 2015-2022,2021,500000,Maruti,1000,Petrol,Hatchback,5,First-Owner,Manual
2024 MG Hector Plus,Hector Plus,2024,2000000,MG,7000,Petrol,SUV,7,First-Owner,Automatic
2014 Maruti Alto K10,Alto K10 2010-2014,2014,225000,Maruti,103889,Petrol,Hatchback,5,First-Owner,Manual
2016 Honda City,City 4th Generation,2016,600000,Honda,100046,Petrol,Sedan,5,Second-Owner,Manual
2015 Honda City,City 2014-2015,2015,625000,Honda,71287,Petrol,Sedan,5,First-Owner,Manual
2011 Maruti Swift,Swift 2010-2014,2011,220000,Maruti,60000,Diesel,Hatchback,5,Third-Owner,Manual
2018 Mahindra Marazzo,Marazzo,2018,675000,Mahindra,66370,Diesel,MUV,7,Second-Owner,Manual
2017 Hyundai i10,i10,2017,385000,Hyundai,70126,Petrol,Hatchback,5,First-Owner,Manual
2015 Honda City,City 2014-2015,2015,575000,Honda,59353,Diesel,Sedan,5,First-Owner,Manual
2023 Hyundai Venue,Venue,2023,800000,Hyundai,20000,Petrol,SUV,5,First-Owner,Manual
2024 Kia Sonet,Sonet,2024,970000,Kia,7000,Petrol,SUV,5,First-Owner,Manual
2022 Renault Kiger,Kiger 2021-2023,2022,463242,Renault,58349,Petrol,SUV,5,First-Owner,Manual
2024 BMW X5,X5,2024,9900000,BMW,4900,Diesel,SUV,5,First-Owner,Automatic
